filename, language, JSON, JavaScript, Markdown, HTML, CSS, comment, blank, total
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\serviceWorker.js, JavaScript, 0, 94, 0, 0, 0, 31, 13, 138
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\setupTests.js, JavaScript, 0, 1, 0, 0, 0, 4, 1, 6
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\store.js, JavaScript, 0, 14, 0, 0, 0, 0, 4, 18
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\utils\setAuthToken.js, JavaScript, 0, 9, 0, 0, 0, 2, 3, 14
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\validation\is-empty.js, JavaScript, 0, 9, 0, 0, 0, 0, 2, 11
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\config\keys.js, JavaScript, 0, 5, 0, 0, 0, 0, 1, 6
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\config\keys_prod.js, JavaScript, 0, 4, 0, 0, 0, 0, 1, 5
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\config\passport.js, JavaScript, 0, 22, 0, 0, 0, 0, 3, 25
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\package.json, JSON, 34, 0, 0, 0, 0, 0, 1, 35
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\routes\api\posts.js, JavaScript, 0, 153, 0, 0, 0, 18, 20, 191
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\routes\api\profile.js, JavaScript, 0, 207, 0, 0, 0, 21, 22, 250
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\routes\api\users.js, JavaScript, 0, 92, 0, 0, 0, 1, 10, 103
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\server.js, JavaScript, 0, 33, 0, 0, 0, 7, 8, 48
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\education.js, JavaScript, 0, 25, 0, 0, 0, 0, 5, 30
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\experience.js, JavaScript, 0, 21, 0, 0, 0, 0, 5, 26
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\is-empty.js, JavaScript, 0, 9, 0, 0, 0, 0, 2, 11
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\login.js, JavaScript, 0, 20, 0, 0, 0, 0, 6, 26
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\post.js, JavaScript, 0, 16, 0, 0, 0, 0, 5, 21
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\profile.js, JavaScript, 0, 54, 0, 0, 0, 0, 7, 61
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\register.js, JavaScript, 0, 40, 0, 0, 0, 0, 4, 44
Total, -, 103, 3856, 37, 47, 50, 142, 410, 4645
